Day,Episode,Air Date,Event Type,Elie,Gabler,Morriah,Owen,Jeanine,Sami,James,Lindsay,Ryan,Geo,Karla,Cassidy,Dwight,Nneka,Cody,Noelle,Jesse,Justine
3,1,2022-09-21,TC,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,2,2022-09-28,TC,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
7,3,2022-10-05,TC,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
9,4,2022-10-12,TC,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
11,5,2022-10-19,TC,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0
13,6,2022-10-26,TC,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0
14,7,2022-11-02,TC,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0
14,7,2022-11-02,Immunity,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8,2022-11-09,TC,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0
16,8,2022-11-09,Immunity,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,9,2022-11-16,TC,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0
17,9,2022-11-16,Immunity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19,10,2022-11-23,TC,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
19,10,2022-11-23,Immunity,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,11,2022-11-30,TC,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
21,11,2022-11-30,Immunity,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,12,2022-12-07,TC,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
23,12,2022-12-07,Immunity,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
